job,country,number_of_pages,unique_url
Data Scientist,Guatemala,20,"https://www.glassdoor.com/Salaries/guatemala-data-scientist-salary-SRCH_IL.0,9_IN101_KO10,24_IP{}.htm"
Data Scientist,Bulgaria,60,"https://www.glassdoor.com/Salaries/bulgaria-data-scientist-salary-SRCH_IL.0,8_IN39_KO9,23_IP{}.htm"
Data Engineer,Japan,400,"https://www.glassdoor.com/Salaries/japan-data-engineer-salary-SRCH_IL.0,5_IN123_KO6,19_IP{}.htm"
Data Engineer,South Korea,240,"https://www.glassdoor.com/Salaries/south-korea-data-engineer-salary-SRCH_IL.0,11_IN135_KO12,25_IP{}.htm"
Data Engineer,China,680,"https://www.glassdoor.com/Salaries/china-data-engineer-salary-SRCH_IL.0,5_IN48_KO6,19_IP{}.htm"
Data Engineer,United States,7060,"https://www.glassdoor.com/Salaries/us-data-engineer-salary-SRCH_IL.0,2_IN1_KO3,16_IP{}.htm"
Data Engineer,Germany,4020,"https://www.glassdoor.com/Salaries/germany-data-engineer-salary-SRCH_IL.0,7_IN96_KO8,21_IP{}.htm"
Data Engineer,Singapore,2220,"https://www.glassdoor.com/Salaries/data-engineer-salary-SRCH_IM1123_KO0,13_IP{}.htm"
Data Engineer,United Kingdom,11535,"https://www.glassdoor.com/Salaries/uk-data-engineer-salary-SRCH_IL.0,2_IN2_KO3,16_IP{}.htm"
Data Engineer,Russia,820,"https://www.glassdoor.com/Salaries/russia-data-engineer-salary-SRCH_IL.0,6_IN205_KO7,20_IP{}.htm"
Data Engineer,Switzerland,840,"https://www.glassdoor.com/Salaries/switzerland-data-engineer-salary-SRCH_IL.0,11_IN226_KO12,25_IP{}.htm"
Data Engineer,United Arab Emirates,536,"https://www.glassdoor.com/Salaries/united-arab-emirates-data-engineer-salary-SRCH_IL.0,20_IN6_KO21,34_IP{}.htm"
Data Engineer,India,76,"https://www.glassdoor.com/Salaries/data-engineer-salary-SRCH_IM407_KO0,13_IP{}.htm"
Data Engineer,France,6140,"https://www.glassdoor.com/Salaries/france-data-engineer-salary-SRCH_IL.0,6_IN86_KO7,20_IP{}.htm"
Data Engineer,Israel,1220,"https://www.glassdoor.com/Salaries/israel-data-engineer-salary-SRCH_IL.0,6_IN119_KO7,20_IP{}.htm"
Data Engineer,Canada,6460,"https://www.glassdoor.com/Salaries/canada-data-engineer-salary-SRCH_IL.0,6_IN3_KO7,20_IP{}.htm"
Data Engineer,Sweden,580,"https://www.glassdoor.com/Salaries/sweden-data-engineer-salary-SRCH_IL.0,6_IN223_KO7,20_IP{}.htm"
Data Engineer,Denmark,400,"https://www.glassdoor.com/Salaries/denmark-data-engineer-salary-SRCH_IL.0,7_IN63_KO8,21_IP{}.htm"
Data Engineer,Netherlands,2360,"https://www.glassdoor.com/Salaries/netherlands-data-engineer-salary-SRCH_IL.0,11_IN178_KO12,25_IP{}.htm"
Data Engineer,Qatar,60,"https://www.glassdoor.com/Salaries/qatar-data-engineer-salary-SRCH_IL.0,5_IN199_KO6,19_IP{}.htm"
Data Engineer,Australia,3087,"https://www.glassdoor.com/Salaries/australia-data-engineer-salary-SRCH_IL.0,9_IN16_KO10,23_IP{}.htm"
Data Engineer,Finland,280,"https://www.glassdoor.com/Salaries/finland-data-engineer-salary-SRCH_IL.0,7_IN79_KO8,21_IP{}.htm"
Data Engineer,Norway,200,"https://www.glassdoor.com/Salaries/norway-data-engineer-salary-SRCH_IL.0,6_IN180_KO7,20_IP{}.htm"
Data Engineer,Luxembourg,148,"https://www.glassdoor.com/Salaries/luxembourg-data-engineer-salary-SRCH_IL.0,10_IN148_KO11,24_IP{}.htm"
Data Engineer,Belgium,681,"https://www.glassdoor.com/Salaries/belgium-data-engineer-salary-SRCH_IL.0,7_IN25_KO8,21_IP{}.htm"
Data Engineer,Saudi Arabia,200,"https://www.glassdoor.com/Salaries/saudi-arabia-data-engineer-salary-SRCH_IL.0,12_IN207_KO13,26_IP{}.htm"
Data Engineer,Austria,300,"https://www.glassdoor.com/Salaries/austria-data-engineer-salary-SRCH_IL.0,7_IN18_KO8,21_IP{}.htm"
Data Engineer,Italy,1780,"https://www.glassdoor.com/Salaries/italy-data-engineer-salary-SRCH_IL.0,5_IN120_KO6,19_IP{}.htm"
Data Engineer,New Zealand,460,"https://www.glassdoor.com/Salaries/new-zealand-data-engineer-salary-SRCH_IL.0,11_IN186_KO12,25_IP{}.htm"
Data Engineer,Ireland,1088,"https://www.glassdoor.com/Salaries/ireland-data-engineer-salary-SRCH_IL.0,7_IN70_KO8,21_IP{}.htm"
Data Engineer,Poland,960,"https://www.glassdoor.com/Salaries/poland-data-engineer-salary-SRCH_IL.0,6_IN193_KO7,20_IP{}.htm"
Data Engineer,Spain,3220,"https://www.glassdoor.com/Salaries/spain-data-engineer-salary-SRCH_IL.0,5_IN219_KO6,19_IP{}.htm"
Data Engineer,Thailand,460,"https://www.glassdoor.com/Salaries/thailand-data-engineer-salary-SRCH_IL.0,8_IN229_KO9,22_IP{}.htm"
Data Engineer,Malaysia,1171,"https://www.glassdoor.com/Salaries/malaysia-data-engineer-salary-SRCH_IL.0,8_IN170_KO9,22_IP{}.htm"
Data Engineer,Estonia,140,"https://www.glassdoor.com/Salaries/estonia-data-engineer-salary-SRCH_IL.0,7_IN72_KO8,21_IP{}.htm"
Data Engineer,Vietnam,300,"https://www.glassdoor.com/Salaries/vietnam-data-engineer-salary-SRCH_IL.0,7_IN251_KO8,21_IP{}.htm"
Data Engineer,Iran,151,"https://www.glassdoor.com/Salaries/iran-data-engineer-salary-SRCH_IL.0,4_IN118_KO5,18_IP{}.htm"
Data Engineer,Ukraine,65,"https://www.glassdoor.com/Salaries/ukraine-data-engineer-salary-SRCH_IL.0,7_IN244_KO8,21_IP{}.htm"
Data Engineer,Hungary,340,"https://www.glassdoor.com/Salaries/hungary-data-engineer-salary-SRCH_IL.0,7_IN111_KO8,21_IP{}.htm"
Data Engineer,Brazil,6960,"https://www.glassdoor.com/Salaries/brazil-data-engineer-salary-SRCH_IL.0,6_IN36_KO7,20_IP{}.htm"
Data Engineer,Philippines,1100,"https://www.glassdoor.com/Salaries/philippines-data-engineer-salary-SRCH_IL.0,11_IN204_KO12,25_IP{}.htm"
Data Engineer,Indonesia,1385,"https://www.glassdoor.com/Salaries/indonesia-data-engineer-salary-SRCH_IL.0,9_IN113_KO10,23_IP{}.htm"
Data Engineer,Turkey,620,"https://www.glassdoor.com/Salaries/turkey-data-engineer-salary-SRCH_IL.0,6_IN238_KO7,20_IP{}.htm"
Data Engineer,Bahrain,20,"https://www.glassdoor.com/Salaries/bahrain-data-engineer-salary-SRCH_IL.0,7_IN21_KO8,21_IP{}.htm"
Data Engineer,Bangladesh,315,"https://www.glassdoor.com/Salaries/bangladesh-data-engineer-salary-SRCH_IL.0,10_IN27_KO11,24_IP{}.htm"
Data Engineer,Egypt,580,"https://www.glassdoor.com/Salaries/egypt-data-engineer-salary-SRCH_IL.0,5_IN69_KO6,19_IP{}.htm"
Data Engineer,Colombia,714,"https://www.glassdoor.com/Salaries/colombia-data-engineer-salary-SRCH_IL.0,8_IN54_KO9,22_IP{}.htm"
Data Engineer,Mexico,1520,"https://www.glassdoor.com/Salaries/mexico-data-engineer-salary-SRCH_IL.0,6_IN169_KO7,20_IP{}.htm"
Data Engineer,Azerbaijan,40,"https://www.glassdoor.com/Salaries/azerbaijan-data-engineer-salary-SRCH_IL.0,10_IN9_KO11,24_IP{}.htm"
Data Engineer,Kazakhstan,100,"https://www.glassdoor.com/Salaries/kazakhstan-data-engineer-salary-SRCH_IL.0,10_IN138_KO11,24_IP{}.htm"
Data Engineer,Argentina,980,"https://www.glassdoor.com/Salaries/argentina-data-engineer-salary-SRCH_IL.0,9_IN15_KO10,23_IP{}.htm"
Data Engineer,Belarus,20,"https://www.glassdoor.com/Salaries/belarus-data-engineer-salary-SRCH_IL.0,7_IN33_KO8,21_IP{}.htm"
Data Engineer,Serbia,80,"https://www.glassdoor.com/Salaries/serbia-data-engineer-salary-SRCH_IL.0,6_IN200_KO7,20_IP{}.htm"
Data Engineer,South Africa,860,"https://www.glassdoor.com/Salaries/south-africa-data-engineer-salary-SRCH_IL.0,12_IN211_KO13,26_IP{}.htm"
Data Engineer,Jordan,103,"https://www.glassdoor.com/Salaries/data-engineer-salary-SRCH_IM567_KO0,13_IP{}.htm"
Data Engineer,Sri Lanka,260,"https://www.glassdoor.com/Salaries/sri-lanka-data-engineer-salary-SRCH_IL.0,9_IN45_KO10,23_IP{}.htm"
Data Engineer,Greece,400,"https://www.glassdoor.com/Salaries/greece-data-engineer-salary-SRCH_IL.0,6_IN100_KO7,20_IP{}.htm"
Data Engineer,Guatemala,40,"https://www.glassdoor.com/Salaries/guatemala-data-engineer-salary-SRCH_IL.0,9_IN101_KO10,23_IP{}.htm"
Data Engineer,Bulgaria,160,"https://www.glassdoor.com/Salaries/bulgaria-data-engineer-salary-SRCH_IL.0,8_IN39_KO9,22_IP{}.htm"
Data Analyst,Japan,300,"https://www.glassdoor.com/Salaries/japan-data-analyst-salary-SRCH_IL.0,5_IN123_KO6,18_IP{}.htm"
Data Analyst,South Korea,160,"https://www.glassdoor.com/Salaries/south-korea-data-analyst-salary-SRCH_IL.0,11_IN135_KO12,24_IP{}.htm"
Data Analyst,China,531,"https://www.glassdoor.com/Salaries/china-data-analyst-salary-SRCH_IL.0,5_IN48_KO6,18_IP{}.htm"
Data Analyst,United States,3720,"https://www.glassdoor.com/Salaries/us-data-analyst-salary-SRCH_IL.0,2_IN1_KO3,15_IP{}.htm"
Data Analyst,Germany,3020,"https://www.glassdoor.com/Salaries/germany-data-analyst-salary-SRCH_IL.0,7_IN96_KO8,20_IP{}.htm"
Data Analyst,Singapore,1520,"https://www.glassdoor.com/Salaries/data-analyst-salary-SRCH_IM1123_KO0,12_IP{}.htm"
Data Analyst,United Kingdom,7540,"https://www.glassdoor.com/Salaries/uk-data-analyst-salary-SRCH_IL.0,2_IN2_KO3,15_IP{}.htm"
Data Analyst,Russia,565,"https://www.glassdoor.com/Salaries/russia-data-analyst-salary-SRCH_IL.0,6_IN205_KO7,19_IP{}.htm"
Data Analyst,Switzerland,680,"https://www.glassdoor.com/Salaries/switzerland-data-analyst-salary-SRCH_IL.0,11_IN226_KO12,24_IP{}.htm"
Data Analyst,United Arab Emirates,460,"https://www.glassdoor.com/Salaries/united-arab-emirates-data-analyst-salary-SRCH_IL.0,20_IN6_KO21,33_IP{}.htm"
Data Analyst,India,34,"https://www.glassdoor.com/Salaries/data-analyst-salary-SRCH_IM407_KO0,12_IP{}.htm"
Data Analyst,France,4800,"https://www.glassdoor.com/Salaries/france-data-analyst-salary-SRCH_IL.0,6_IN86_KO7,19_IP{}.htm"
Data Analyst,Israel,902,"https://www.glassdoor.com/Salaries/israel-data-analyst-salary-SRCH_IL.0,6_IN119_KO7,19_IP{}.htm"
